================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
100.10.30.1:34782          <-> 100.30.0.1:8080                  4 324 bytes      12 9,510 bytes      16 9,834 bytes   171.007272958         2.0032
100.10.30.1:44714          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       171.574711898         2.0021
100.10.30.1:41579          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       172.666579618         2.0021
100.10.30.1:33894          <-> 100.30.0.1:8080                  4 324 bytes      12 9,054 bytes      16 9,378 bytes   173.241450362         2.0027
100.10.30.1:37332          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       175.200937800         2.0016
100.10.30.1:33799          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       176.344308369         2.0011
100.10.30.1:42245          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       177.202213262         2.0023
100.10.30.1:34562          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       178.469853097         2.0020
100.10.30.1:40514          <-> 100.30.0.1:8080                  4 324 bytes      12 8,200 bytes      16 8,524 bytes   177.968964188         2.0029
100.10.30.1:34029          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 12 kB       179.156542489         2.0010
100.10.30.1:33468          <-> 100.30.0.1:8080                  4 324 bytes      12 9,698 bytes      16 10 kB       179.102060024         2.0027
100.10.30.1:39019          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       180.136476154         2.0028
100.10.30.1:36735          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       180.439023373         2.0014
100.10.30.1:42277          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       179.990586792         2.0026
100.10.30.1:43052          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 12 kB       181.157275211         2.0009
100.10.30.1:35829          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       181.344106186         2.0023
100.10.30.1:33929          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       182.440105957         2.0019
100.10.30.1:39607          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       183.346101847         2.0014
100.10.30.1:43939          <-> 100.30.0.1:8080                  4 324 bytes      12 8,712 bytes      16 9,036 bytes   183.679041522         2.0028
100.10.30.1:41051          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       184.165045417         2.0020
100.10.30.1:40974          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       184.917464833         2.0015
100.10.30.1:40376          <-> 100.30.0.1:8080                  4 324 bytes      12 9,932 bytes      16 10 kB       185.183571689         2.0029
100.10.30.1:33387          <-> 100.30.0.1:8080                  4 324 bytes      12 8,712 bytes      16 9,036 bytes   185.681599713         2.0031
100.10.30.1:43871          <-> 100.30.0.1:8080                  4 324 bytes      12 9,268 bytes      16 9,592 bytes   186.140610578         2.0029
100.10.30.1:35145          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       187.201063106         2.0028
100.10.30.1:42968          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       187.349718798         2.0019
100.10.30.1:33580          <-> 100.30.0.1:8080                  4 324 bytes      12 8,712 bytes      16 9,036 bytes   187.684326748         2.0030
100.10.30.1:41745          <-> 100.30.0.1:8080                  4 324 bytes      12 9,268 bytes      16 9,592 bytes   188.143144517         2.0016
100.10.30.1:33904          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 13 kB       188.390744056         2.0016
100.10.30.1:34545          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       189.297264529         2.0013
100.10.30.1:45265          <-> 100.30.0.1:8080                  4 324 bytes      12 8,352 bytes      16 8,676 bytes   189.400477218         2.0027
100.10.30.1:44387          <-> 100.30.0.1:8080                  4 324 bytes      12 8,712 bytes      16 9,036 bytes   189.687119639         2.0031
100.10.30.1:44946          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       193.510213819         2.0022
100.10.30.1:36023          <-> 100.30.0.1:8080                  4 324 bytes      12 9,414 bytes      16 9,738 bytes   194.637859718         2.0030
100.10.30.1:34495          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       195.301624310         2.0029
100.10.30.1:38091          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       195.512151915         2.0014
100.10.30.1:41260          <-> 100.30.0.1:8080                  4 324 bytes      12 9,690 bytes      16 10 kB       195.243577189         2.0025
100.10.30.1:34888          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       196.183407386         2.0010
100.10.30.1:44740          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       196.628098079         2.0013
100.10.30.1:43730          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 13 kB       196.979335844         2.0012
100.10.30.1:42220          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       197.141846377         2.0011
100.10.30.1:37723          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       197.513257477         2.0012
100.10.30.1:45325          <-> 100.30.0.1:8080                  4 324 bytes      12 9,812 bytes      16 10 kB       198.518824905         2.0027
100.10.30.1:43617          <-> 100.30.0.1:8080                  4 324 bytes      12 9,692 bytes      16 10 kB       198.642233016         2.0021
100.10.30.1:33668          <-> 100.30.0.1:8080                  4 324 bytes      12 9,690 bytes      16 10 kB       199.246635819         2.0030
100.10.30.1:35344          <-> 100.30.0.1:8080                  4 324 bytes      12 9,372 bytes      16 9,696 bytes   199.514233448         2.0029
100.10.30.1:35028          <-> 100.30.0.1:8080                  4 324 bytes      12 9,812 bytes      16 10 kB       200.521149164         2.0030
100.10.30.1:43470          <-> 100.30.0.1:8080                  4 324 bytes      12 9,692 bytes      16 10 kB       200.644155969         2.0029
100.10.30.1:43090          <-> 100.30.0.1:8080                  4 324 bytes      12 8,246 bytes      16 8,570 bytes   201.504148471         2.0030
100.10.30.1:37274          <-> 100.30.0.1:8080                  4 324 bytes      12 9,690 bytes      16 10 kB       201.249301887         2.0030
100.10.30.1:44941          <-> 100.30.0.1:8080                  4 324 bytes      12 9,812 bytes      16 10 kB       202.523971306         2.0030
100.10.30.1:38981          <-> 100.30.0.1:8080                  4 324 bytes      12 9,692 bytes      16 10 kB       202.646693862         2.0032
100.10.30.1:36551          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       203.120073746         2.0009
100.10.30.1:39068          <-> 100.30.0.1:8080                  4 324 bytes      12 8,816 bytes      16 9,140 bytes   203.358551707         2.0028
100.10.30.1:39133          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       204.568192692         2.0021
100.10.30.1:35093          <-> 100.30.0.1:8080                  4 324 bytes      12 8,294 bytes      16 8,618 bytes   205.175110237         2.0027
100.10.30.1:37878          <-> 100.30.0.1:8080                  4 324 bytes      12 8,806 bytes      16 9,130 bytes   205.631329645         2.0030
100.10.30.1:38543          <-> 100.30.0.1:8080                  4 324 bytes      12 9,460 bytes      16 9,784 bytes   205.212373958         2.0029
100.10.30.1:34741          <-> 100.30.0.1:8080                  4 324 bytes      12 8,806 bytes      16 9,130 bytes   207.634043024         2.0028
100.10.30.1:35257          <-> 100.30.0.1:8080                  4 324 bytes      12 8,780 bytes      16 9,104 bytes   209.230066615         2.0027
100.10.30.1:32776          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       209.701228438         2.0012
100.10.30.1:36737          <-> 100.30.0.1:8080                  4 324 bytes      12 9,614 bytes      16 9,938 bytes   209.258272777         2.0033
100.10.30.1:44235          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 11 kB       210.347037134         2.0029
100.10.30.1:39456          <-> 100.30.0.1:8080                  4 324 bytes      12 9,614 bytes      16 9,938 bytes   211.261074204         2.0030
100.10.30.1:37756          <-> 100.30.0.1:8080                  4 324 bytes      12 9,614 bytes      16 9,938 bytes   213.263705141         2.0030
100.10.30.1:46094          <-> 100.30.0.1:8080                  4 324 bytes      12 8,780 bytes      16 9,104 bytes   213.235102467         2.0030
100.10.30.1:37739          <-> 100.30.0.1:8080                  4 324 bytes      12 8,220 bytes      16 8,544 bytes   213.663150923         2.0028
100.10.30.1:45782          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       214.108648862         2.0029
100.10.30.1:33052          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 11 kB       214.351094694         2.0016
100.10.30.1:43286          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       215.209036985         2.0015
100.10.30.1:33452          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       216.111192645         2.0030
100.10.30.1:44760          <-> 100.30.0.1:8080                  4 324 bytes      12 8,220 bytes      16 8,544 bytes   217.666462136         2.0031
100.10.30.1:36989          <-> 100.30.0.1:8080                  4 324 bytes      12 8,262 bytes      16 8,586 bytes   219.057833138         2.0028
100.10.30.1:43781          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       219.832497307         2.0020
100.10.30.1:36383          <-> 100.30.0.1:8080                  4 324 bytes      12 8,220 bytes      16 8,544 bytes   219.669213508         2.0031
100.10.30.1:39962          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       220.115315527         2.0029
100.10.30.1:44683          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       221.215485739         2.0018
100.10.30.1:38235          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       221.933144160         2.0023
100.10.30.1:33442          <-> 100.30.0.1:8080                  4 324 bytes      12 8,262 bytes      16 8,586 bytes   221.060372084         2.0029
100.10.30.1:41105          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       223.836930328         2.0009
100.10.30.1:40827          <-> 100.30.0.1:8080                  4 324 bytes      12 9,514 bytes      16 9,838 bytes   225.104144136         2.0028
100.10.30.1:35817          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       227.780031970         2.0016
100.10.30.1:42916          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       228.278388276         2.0030
100.10.30.1:43800          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       229.892508528         2.0018
100.10.30.1:46333          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       231.311407092         2.0012
100.10.30.1:36605          <-> 100.30.0.1:8080                  4 324 bytes      12 10 kB          16 10 kB       231.312733223         2.0022
100.10.30.1:41398          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       231.894033345         2.0012
100.10.30.1:38203          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 12 kB       232.337192302         2.0021
100.10.30.1:43489          <-> 100.30.0.1:8080                  4 324 bytes      12 9,794 bytes      16 10 kB       233.726177922         2.0012
100.10.30.1:36833          <-> 100.30.0.1:8080                  3 242 bytes      13 12 kB          16 12 kB       235.000439516         2.0010
100.10.30.1:42716          <-> 100.30.0.1:8080                  3 242 bytes      13 13 kB          16 13 kB       235.026607014         2.0008
100.10.30.1:42018          <-> 100.30.0.1:8080                  4 324 bytes      12 9,794 bytes      16 10 kB       235.727237378         2.0015
100.10.30.1:44551          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       235.897650863         2.0024
100.10.30.1:44367          <-> 100.30.0.1:8080                  4 324 bytes      12 9,754 bytes      16 10 kB       235.165162771         2.0029
100.10.30.1:46709          <-> 100.30.0.1:8080                  4 324 bytes      12 8,990 bytes      16 9,314 bytes   235.446241123         2.0027
100.10.30.1:43588          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       236.528024333         2.0012
100.10.30.1:45324          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       236.629131282         2.0021
100.10.30.1:44156          <-> 100.30.0.1:8080                  3 242 bytes      13 11 kB          16 11 kB       237.405657862         2.0027
100.10.30.1:36758          <-> 100.30.0.1:8080                  4 324 bytes      12 9,754 bytes      16 10 kB       237.167795424         2.0030
100.10.30.1:37771          <-> 100.30.0.1:8080                  4 324 bytes      12 8,990 bytes      16 9,314 bytes   237.448810467         2.0029
100.10.30.1:41275          <-> 100.30.0.1:8080                  4 324 bytes      12 9,794 bytes      16 10 kB       237.728483753         2.0031
100.10.30.1:32780          <-> 100.30.0.1:8080                  4 324 bytes      11 8,198 bytes      15 8,522 bytes     0.650111377         2.0014
100.10.30.1:40272          <-> 100.30.0.1:8080                  4 324 bytes      11 9,708 bytes      15 10 kB         0.728538451         2.0026
100.10.30.1:46866          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB         8.606774885         2.0020
100.10.30.1:41597          <-> 100.30.0.1:8080                  4 324 bytes      11 8,046 bytes      15 8,370 bytes    16.367879703         2.0015
100.10.30.1:32833          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        17.007352993         2.0016
100.10.30.1:35633          <-> 100.30.0.1:8080                  4 324 bytes      11 9,102 bytes      15 9,426 bytes    18.430697855         2.0026
100.10.30.1:46289          <-> 100.30.0.1:8080                  4 324 bytes      11 9,114 bytes      15 9,438 bytes    18.821491708         2.0031
100.10.30.1:39082          <-> 100.30.0.1:8080                  4 324 bytes      11 8,150 bytes      15 8,474 bytes    25.256875766         2.0013
100.10.30.1:42218          <-> 100.30.0.1:8080                  4 324 bytes      11 8,818 bytes      15 9,142 bytes    25.691014920         2.0015
100.10.30.1:45632          <-> 100.30.0.1:8080                  4 324 bytes      11 8,166 bytes      15 8,490 bytes    35.135343815         2.0018
100.10.30.1:33071          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        36.572125430         2.0022
100.10.30.1:43436          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        37.962127757         2.0019
100.10.30.1:34786          <-> 100.30.0.1:8080                  4 324 bytes      11 9,160 bytes      15 9,484 bytes    45.736084559         2.0013
100.10.30.1:34094          <-> 100.30.0.1:8080                  4 324 bytes      11 9,508 bytes      15 9,832 bytes    44.948230487         2.0031
100.10.30.1:34633          <-> 100.30.0.1:8080                  4 324 bytes      11 8,626 bytes      15 8,950 bytes    45.197074538         2.0021
100.10.30.1:43982          <-> 100.30.0.1:8080                  4 324 bytes      11 8,168 bytes      15 8,492 bytes    45.645289606         2.0022
100.10.30.1:46564          <-> 100.30.0.1:8080                  4 324 bytes      11 9,242 bytes      15 9,566 bytes    46.292313443         2.0030
100.10.30.1:36432          <-> 100.30.0.1:8080                  4 324 bytes      11 8,100 bytes      15 8,424 bytes    51.608191502         2.0021
100.10.30.1:41575          <-> 100.30.0.1:8080                  4 324 bytes      11 8,710 bytes      15 9,034 bytes    54.186465897         2.0019
100.10.30.1:39100          <-> 100.30.0.1:8080                  4 324 bytes      11 9,338 bytes      15 9,662 bytes    57.938039437         2.0021
100.10.30.1:43445          <-> 100.30.0.1:8080                  4 324 bytes      11 9,818 bytes      15 10 kB        58.271179339         2.0024
100.10.30.1:35094          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        60.349569025         2.0012
100.10.30.1:39380          <-> 100.30.0.1:8080                  4 324 bytes      11 8,238 bytes      15 8,562 bytes    60.624834751         2.0020
100.10.30.1:44357          <-> 100.30.0.1:8080                  4 324 bytes      11 9,320 bytes      15 9,644 bytes    60.927278036         2.0015
100.10.30.1:43762          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        62.353905079         2.0024
100.10.30.1:44619          <-> 100.30.0.1:8080                  4 324 bytes      11 8,542 bytes      15 8,866 bytes    62.585151700         2.0030
100.10.30.1:41580          <-> 100.30.0.1:8080                  4 324 bytes      11 9,304 bytes      15 9,628 bytes    62.671733215         2.0022
100.10.30.1:43671          <-> 100.30.0.1:8080                  4 324 bytes      11 8,384 bytes      15 8,708 bytes    63.299735544         2.0015
100.10.30.1:42124          <-> 100.30.0.1:8080                  4 324 bytes      11 8,584 bytes      15 8,908 bytes    63.401068013         2.0012
100.10.30.1:35018          <-> 100.30.0.1:8080                  4 324 bytes      11 8,542 bytes      15 8,866 bytes    64.587739358         2.0016
100.10.30.1:44552          <-> 100.30.0.1:8080                  4 324 bytes      11 8,052 bytes      15 8,376 bytes    65.618375763         2.0021
100.10.30.1:45731          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        70.601143955         2.0023
100.10.30.1:41559          <-> 100.30.0.1:8080                  4 324 bytes      11 8,860 bytes      15 9,184 bytes    73.364268354         2.0018
100.10.30.1:38694          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        73.776886213         2.0022
100.10.30.1:43858          <-> 100.30.0.1:8080                  4 324 bytes      11 8,574 bytes      15 8,898 bytes    79.782778111         2.0021
100.10.30.1:43701          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        80.126313109         1.9922
100.10.30.1:41221          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        80.616353087         2.0016
100.10.30.1:35209          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB        83.265316842         2.0029
100.10.30.1:44791          <-> 100.30.0.1:8080                  4 324 bytes      11 8,730 bytes      15 9,054 bytes    85.681035161         2.0015
100.10.30.1:38924          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        85.208137519         2.0016
100.10.30.1:38309          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB        93.376342803         2.0018
100.10.30.1:42520          <-> 100.30.0.1:8080                  4 324 bytes      11 9,490 bytes      15 9,814 bytes    97.713147651         2.0014
100.10.30.1:33354          <-> 100.30.0.1:8080                  4 324 bytes      11 9,444 bytes      15 9,768 bytes    99.063149179         2.0019
100.10.30.1:37658          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 11 kB        99.391708357         2.0023
100.10.30.1:44207          <-> 100.30.0.1:8080                  4 324 bytes      11 8,834 bytes      15 9,158 bytes   102.900414733         2.0016
100.10.30.1:41607          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       102.952639862         2.0027
100.10.30.1:43083          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       103.524912200         2.0025
100.10.30.1:45059          <-> 100.30.0.1:8080                  4 324 bytes      11 9,194 bytes      15 9,518 bytes   105.251639862         2.0015
100.10.30.1:43053          <-> 100.30.0.1:8080                  4 324 bytes      11 9,114 bytes      15 9,438 bytes   106.923000744         2.0022
100.10.30.1:38331          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       109.195354025         2.0028
100.10.30.1:40483          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       111.197668862         2.0031
100.10.30.1:42255          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       113.200496152         2.0028
100.10.30.1:35820          <-> 100.30.0.1:8080                  4 324 bytes      11 9,634 bytes      15 9,958 bytes   116.283110816         2.0019
100.10.30.1:44154          <-> 100.30.0.1:8080                  4 324 bytes      11 9,518 bytes      15 9,842 bytes   117.337282919         2.0014
100.10.30.1:41227          <-> 100.30.0.1:8080                  4 324 bytes      11 8,666 bytes      15 8,990 bytes   117.472603362         2.0028
100.10.30.1:33575          <-> 100.30.0.1:8080                  4 324 bytes      11 8,818 bytes      15 9,142 bytes   118.310077683         2.0011
100.10.30.1:39408          <-> 100.30.0.1:8080                  4 324 bytes      11 8,084 bytes      15 8,408 bytes   125.720388558         1.9981
100.10.30.1:35016          <-> 100.30.0.1:8080                  4 324 bytes      11 8,668 bytes      15 8,992 bytes   126.564103382         2.0019
100.10.30.1:37063          <-> 100.30.0.1:8080                  4 324 bytes      11 9,074 bytes      15 9,398 bytes   129.396100951         2.0017
100.10.30.1:40306          <-> 100.30.0.1:8080                  4 324 bytes      11 9,412 bytes      15 9,736 bytes   135.138806247         2.0016
100.10.30.1:42792          <-> 100.30.0.1:8080                  4 324 bytes      11 8,216 bytes      15 8,540 bytes   135.163911744         2.0029
100.10.30.1:34738          <-> 100.30.0.1:8080                  4 324 bytes      11 9,974 bytes      15 10 kB       138.856881146         2.0027
100.10.30.1:45345          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       142.742495226         2.0023
100.10.30.1:40829          <-> 100.30.0.1:8080                  4 324 bytes      11 9,042 bytes      15 9,366 bytes   144.792393016         2.0013
100.10.30.1:36657          <-> 100.30.0.1:8080                  4 324 bytes      11 9,774 bytes      15 10 kB       144.515112877         2.0016
100.10.30.1:44749          <-> 100.30.0.1:8080                  4 324 bytes      11 9,038 bytes      15 9,362 bytes   145.588640862         2.0027
100.10.30.1:44653          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       149.188789364         2.0017
100.10.30.1:38284          <-> 100.30.0.1:8080                  4 324 bytes      11 8,362 bytes      15 8,686 bytes   150.351759256         2.0022
100.10.30.1:46632          <-> 100.30.0.1:8080                  4 324 bytes      11 9,306 bytes      15 9,630 bytes   153.482084324         2.0022
100.10.30.1:40636          <-> 100.30.0.1:8080                  4 324 bytes      11 9,762 bytes      15 10 kB       154.663144360         2.0023
100.10.30.1:38629          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       158.650845527         2.0020
100.10.30.1:44184          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       158.422386982         2.0014
100.10.30.1:45820          <-> 100.30.0.1:8080                  4 324 bytes      11 8,542 bytes      15 8,866 bytes   158.568636120         2.0013
100.10.30.1:34375          <-> 100.30.0.1:8080                  4 324 bytes      11 9,186 bytes      15 9,510 bytes   163.004949233         2.0026
100.10.30.1:42747          <-> 100.30.0.1:8080                  4 324 bytes      11 8,560 bytes      15 8,884 bytes   165.330779587         2.0027
100.10.30.1:38977          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       167.437221001         2.0023
100.10.30.1:34007          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       166.946030732         2.0019
100.10.30.1:41338          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       168.728757947         2.0032
100.10.30.1:37159          <-> 100.30.0.1:8080                  4 324 bytes      11 9,750 bytes      15 10 kB       169.976222862         2.0023
100.10.30.1:41725          <-> 100.30.0.1:8080                  4 324 bytes      11 9,376 bytes      15 9,700 bytes   172.325127579         2.0016
100.10.30.1:38585          <-> 100.30.0.1:8080                  4 324 bytes      11 9,128 bytes      15 9,452 bytes   172.623338574         2.0025
100.10.30.1:38815          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       173.136503056         2.0029
100.10.30.1:40985          <-> 100.30.0.1:8080                  4 324 bytes      11 9,724 bytes      15 10 kB       174.258688896         2.0012
100.10.30.1:33349          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       174.669014775         2.0024
100.10.30.1:38927          <-> 100.30.0.1:8080                  4 324 bytes      11 8,990 bytes      15 9,314 bytes   175.244050772         2.0023
100.10.30.1:41748          <-> 100.30.0.1:8080                  4 324 bytes      11 9,958 bytes      15 10 kB       175.664346370         2.0020
100.10.30.1:38189          <-> 100.30.0.1:8080                  4 324 bytes      11 8,182 bytes      15 8,506 bytes   178.721085588         2.0021
100.10.30.1:44237          <-> 100.30.0.1:8080                  4 324 bytes      11 8,136 bytes      15 8,460 bytes   179.971591805         2.0015
100.10.30.1:44693          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       182.139062812         2.0022
100.10.30.1:41555          <-> 100.30.0.1:8080                  4 324 bytes      11 9,634 bytes      15 9,958 bytes   183.105726244         2.0030
100.10.30.1:41996          <-> 100.30.0.1:8080                  4 324 bytes      11 9,868 bytes      15 10 kB       187.186283154         2.0013
100.10.30.1:45137          <-> 100.30.0.1:8080                  4 324 bytes      11 9,560 bytes      15 9,884 bytes   188.567961291         2.0013
100.10.30.1:46686          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       190.369587195         2.0015
100.10.30.1:42424          <-> 100.30.0.1:8080                  4 324 bytes      11 8,288 bytes      15 8,612 bytes   191.402933041         2.0019
100.10.30.1:37347          <-> 100.30.0.1:8080                  4 324 bytes      11 8,304 bytes      15 8,628 bytes   192.740715013         2.0026
100.10.30.1:34828          <-> 100.30.0.1:8080                  4 324 bytes      11 8,862 bytes      15 9,186 bytes   194.325464977         2.0017
100.10.30.1:42016          <-> 100.30.0.1:8080                  4 324 bytes      11 9,350 bytes      15 9,674 bytes   196.640389159         2.0020
100.10.30.1:33172          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       196.745189797         2.0019
100.10.30.1:34908          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       198.184124233         2.0021
100.10.30.1:43836          <-> 100.30.0.1:8080                  4 324 bytes      11 9,032 bytes      15 9,356 bytes   198.980409098         2.0019
100.10.30.1:40646          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       199.304924258         2.0022
100.10.30.1:44425          <-> 100.30.0.1:8080                  4 324 bytes      11 8,182 bytes      15 8,506 bytes   203.506937426         2.0021
100.10.30.1:37302          <-> 100.30.0.1:8080                  4 324 bytes      11 9,748 bytes      15 10 kB       204.526613796         2.0017
100.10.30.1:44639          <-> 100.30.0.1:8080                  4 324 bytes      11 9,736 bytes      15 10 kB       205.208915298         2.0028
100.10.30.1:42565          <-> 100.30.0.1:8080                  4 324 bytes      11 8,752 bytes      15 9,076 bytes   205.361137394         2.0013
100.10.30.1:35738          <-> 100.30.0.1:8080                  4 324 bytes      11 9,308 bytes      15 9,632 bytes   205.520210808         2.0022
100.10.30.1:40924          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       206.560100939         2.0030
100.10.30.1:33575          <-> 100.30.0.1:8080                  4 324 bytes      11 8,230 bytes      15 8,554 bytes   207.177616057         2.0031
100.10.30.1:35047          <-> 100.30.0.1:8080                  4 324 bytes      11 9,396 bytes      15 9,720 bytes   207.214938524         2.0018
100.10.30.1:35084          <-> 100.30.0.1:8080                  3 218 bytes      12 10 kB          15 11 kB       208.562781461         2.0024
100.10.30.1:40163          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       216.352414472         2.0028
100.10.30.1:38740          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       222.192922018         2.0019
100.10.30.1:45456          <-> 100.30.0.1:8080                  4 324 bytes      11 8,198 bytes      15 8,522 bytes   223.063020948         2.0028
100.10.30.1:34958          <-> 100.30.0.1:8080                  4 324 bytes      11 9,450 bytes      15 9,774 bytes   227.106675862         2.0017
100.10.30.1:34916          <-> 100.30.0.1:8080                  4 324 bytes      11 9,140 bytes      15 9,464 bytes   232.626831795         2.0016
100.10.30.1:36316          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       233.314786980         2.0024
100.10.30.1:45046          <-> 100.30.0.1:8080                  4 324 bytes      11 10 kB          15 10 kB       233.493303191         2.0025
100.10.30.1:35150          <-> 100.30.0.1:8080                  4 324 bytes      11 9,836 bytes      15 10 kB       233.880415325         2.0018
100.10.30.1:40213          <-> 100.30.0.1:8080                  4 324 bytes      11 9,964 bytes      15 10 kB       234.358892816         2.0020
